出版社	城市	类型	出版社编号（ISBN）	备注
黑龙江教育出版社	哈尔滨市	教育出版社	5316	
北方文艺出版社	哈尔滨市	文艺（文学）出版社	5317	
黑龙江美术出版社	哈尔滨市	美术出版社	5318	
黑龙江少年儿童出版社	哈尔滨市	少儿出版社	5319	
上海文艺出版社	上海市	文艺（文学）出版社	5321	
上海人民美术出版社	上海市		5322	
少年儿童出版社	上海市	少儿出版社	5324	
上海古籍出版社	上海市	古籍出版社	5325	
上海辞书出版社	上海市	辞书出版社	5326	
上海译文出版社	上海市	翻译出版社	5327	
山东教育出版社	济南市	教育出版社	5328	
山东文艺出版社	济南市	文艺（文学）出版社	5329	
山东美术出版社	济南市	美术出版社	5330	
山东科学技术出版社	济南市	科技出版社	5331	
明天出版社	济南市	少儿出版社	5332	
齐鲁书社	济南市	古籍出版社	5333	
福建教育出版社	福州市	教育出版社	5334	
福建科学技术出版社	福州市	科技出版社	5335	
安徽教育出版社	合肥市	教育出版社	5336	
安徽科学技术出版社	合肥市	科技出版社	5337	
浙江教育出版社	杭州市	教育出版社	5338	
浙江文艺出版社	杭州市	文艺（文学）出版社	5339	
浙江人民美术出版社	杭州市	美术出版社	5340	
浙江科学技术出版社	杭州市	科技出版社	5341	
浙江少年儿童出版社	杭州市	少儿出版社	5342	
江苏教育出版社	南京市	教育出版社	5343	
江苏美术出版社	南京市	美术出版社	5344	
江苏科学技术出版社	南京市	科技出版社	5345	
江苏少年儿童出版社	南京市	少儿出版社	5346	
河南教育出版社	开封市	大学出版社	5347	
中州古籍出版社	郑州市		5348	
河南科学技术出版社	郑州市	科技出版社	5349	
海燕出版社	郑州市	少儿出版社	5350	
湖北教育出版社	武汉市	教育出版社	5351	
湖北科学技术出版社	武汉市	科技出版社	5352	
湖北少年儿童出版社	武汉市	少儿出版社	5353	
长江文艺出版社	武汉市	文艺（文学）出版社	5354	
湖南教育出版社	长沙市	教育出版社	5355	
湖南美术出版社	长沙市	美术出版社	5356	
湖南科学技术出版社	长沙市	科技出版社	5357	
湖南少年儿童出版社	长沙市	少儿出版社	5358	
广东科技出版社	广州市	科技出版社	5359	
花城出版社	广州市	文艺（文学）出版社	5360	
广东高等教育出版社	广州市	教育出版社	5361	
岭南美术出版社	广州市	美术出版社	5362	
广西民族出版社	南宁市	少数民族文字出版社（壮文）	5363	
四川科学技术出版社	成都市	科技出版社	5364	
四川少年儿童出版社	成都市	少儿出版社	5365	
云南民族出版社	昆明市	少数民族文字出版社	5367	
		（西双版纳傣文、德宏傣文、景颇文、		
		傈僳文、拉祜文、		
		佤文、彝文、哈尼文、		
		藏文、苗文、纳西文、		
		白文）		
陕西人民美术出版社	西安市	美术出版社	5368	
陕西科学技术出版社	西安市	科技出版社	5369	
新疆教育出版社	乌鲁木齐市	教育出版社	5370	
新疆青少年出版社	乌鲁木齐市	少儿出版社／少数民族文字出版社（维吾尔、哈萨克文）	5371	
新疆科技卫生出版社	乌鲁木齐市	科技出版社	5372	
喀什维吾尔文出版社	喀什市	少数民族文字出版社	5373	
克孜勒苏柯尔克孜文出版社	阿图什市	少数民族文字出版社（柯尔克孜文）	5374	
河北科学技术出版社	石家庄市	科技出版社	5375	
河北少年儿童出版社	石家庄市	少儿出版社	5376	
山西科学技术出版社	太原市	科技出版社	5377	
北岳文艺出版社	太原市	文艺（文学）出版社	5378	
希望出版社	太原市	少儿出版社	5379	
内蒙古科学技术出版社	赤峰市		5380	
辽宁科学技术出版社	沈阳市	科技出版社	5381	
辽宁教育出版社	沈阳市	教育出版社	5382	
吉林教育出版社	长春市	教育出版社	5383	
吉林科学技术出版社	长春市	科技出版社	5384	
北方妇女儿童出版社	长春市	少儿出版社	5385	
吉林美术出版社	长春市	美术出版社	5386	
时代文艺出版社	长春市	文艺（文学）出版社	5387	
黑龙江科学技术出版社	哈尔滨市	科技出版社	5388	
黑龙江朝鲜民族出版社	牡丹江市	少数民族文字出版社（朝鲜文）	5389	
江西科学技术出版社	南昌市	科技出版社	5390	
二十一世纪出版社	南昌市		5391	原名江西少年儿童出版社
江西教育出版社	南昌市	教育出版社	5392	
福建美术出版社	福州市	美术出版社	5393	
湖北美术出版社	武汉市	美术出版社	5394	
福建少年儿童出版社	福州市	少儿出版社	5395	
安徽文艺出版社	合肥市	文艺（文学）出版社	5396	
安徽少年儿童出版社	合肥市	少儿出版社	5397	
安徽美术出版社	合肥市	美术出版社	5398	
江苏文艺出版社	南京市	文艺（文学）出版社	5399	
黄河文艺出版社	郑州市		5400	
河南美术出版社	郑州市	美术出版社	5401	
北京燕山出版社	北京市		5402	
崇文书局	武汉市	辞书出版社	5403	原名湖北辞书出版社
湖南文艺出版社	长沙市	文艺（文学）出版社	5404	
新世纪出版社	广州市		5405	
广东教育出版社	广州市	教育出版社	5406	
漓江出版社	桂林市	文艺（文学）出版社	5407	
四川教育出版社	成都市	教育出版社	5408	
四川民族出版社	成都市	少数民族文字出版社（彝文、藏文）	5409	
四川美术出版社	成都市	美术出版社	5410	
四川文艺出版社	成都市	文艺（文学）出版社	5411	
贵州民族出版社	贵阳市	少数民族文字出版社	5412	
贵州美术出版社	贵阳市		5413	
晨光出版社	昆明市	少儿出版社	5414	原名云南少年儿童出版社
云南教育出版社	昆明市	教育出版社	5415	
云南科学技术出版社	昆明市	科技出版社	5416	
未来出版社	西安市	少儿出版社	5417	
陕西旅游出版社	西安市	旅游出版社	5418	
陕西人民教育出版社	西安市	教育出版社	5419	
青海民族出版社	西宁市	少数民族文字出版社（藏文）	5420	青海人民出版社的副牌
甘肃民族出版社	兰州市	少数民族文字出版社（藏文）	5421	
甘肃少年儿童出版社	兰州市	少儿出版社	5422	
甘肃教育出版社	兰州市	教育出版社	5423	
甘肃科学技术出版社	兰州市	科技出版社	5424	
伊犁人民出版社	奎屯市	各地人民出版社／少数民族文字出版社（哈萨克文）	5425	
上海三联书店	上海市		5426	曾用出版社编号81010
上海科学普及出版社	上海市	科技出版社	5427	
上海科技教育出版社	上海市	科技出版社／教育出版社	5428	
立信会计出版社	上海市	专业出版社（会计）	5429	
武汉出版社	武汉市		5430	
广州文化出版社	广州市		5431	
汉语大词典出版社	上海市	辞书出版社	5432	
天津科技翻译出版公司	天津市	翻译出版社	5433	
河北教育出版社	石家庄市	教育出版社	5434	
广西教育出版社	南宁市	教育出版社	5435	
青岛出版社	青岛市		5436	
延边教育出版社	延吉市	教育出版社／少数民族文字出版社（朝鲜文）	5437	
湖南出版社	长沙市		5438	
上海科学技术文献出版社	上海市	科技出版社	5439	曾用出版社编号80513
山西教育出版社	太原市	教育出版社	5440	曾用出版社编号80578
沈阳出版社	沈阳市		5441	曾用出版社编号80556
南海出版公司	海口市		5442	曾用出版社编号80570
海南出版社	海口市		5443	曾用出版社编号80590、80617、80645、80700
上海教育出版社	上海市	教育出版社	5444	曾用出版社编号5320
长春出版社	长春市		5445	曾用出版社编号80573、80604、80664
上海外语教育出版社	上海市	外语出版社／大学出版社	5446	曾用出版社编号81046、81080、81095
译林出版社	南京市	翻译出版社	5447	曾用出版社编号80567、80657
